Date,Close/Last,Volume,Open,High,Low
12/01/2020,$87.45,9915692,$89.28,$89.71,$87.07
11/30/2020,$87.18,14288410,$90.01,$90.85,$86.9
11/27/2020,$91.31,4627670,$91.33,$92.59,$90.54
11/25/2020,$92.14,10556560,$94.68,$94.68,$92.14
11/24/2020,$95.62,17266430,$93.39,$95.82,$93
11/23/2020,$91.03,13387120,$87.45,$91.58,$86.76
11/20/2020,$85.79,8296993,$85.72,$86.31,$84.88
11/19/2020,$85.73,8820183,$83.545,$85.96,$83.06
11/18/2020,$84.28,10583710,$87.37,$87.9,$84.25
11/17/2020,$87.04,14329010,$86.4,$87.53,$84.83
11/16/2020,$88.96,18980210,$86.24,$89.18,$85.54
11/13/2020,$83.03,10898830,$81.15,$83.3482,$81.03
11/12/2020,$80.67,8929433,$80.98,$82.24,$79.905
11/11/2020,$82.46,11640580,$84.1,$84.49,$81.8
11/10/2020,$83.07,15039670,$81.14,$83.15,$79.7063
11/09/2020,$79.4,24015180,$80,$84.27,$78.26
11/06/2020,$71.15,8366918,$72.5,$73.27,$70.83
11/05/2020,$72.14,10627730,$71.895,$72.97,$71.76
11/04/2020,$71.77,10925660,$70.78,$73.59,$69.89
11/03/2020,$71.74,8607953,$73.16,$73.3,$71.05
11/02/2020,$72.15,11475510,$70.7,$73.08,$69.4
10/30/2020,$69.5,17198460,$69.9,$70.11,$68.08
10/29/2020,$68.8,12292160,$66.13,$69.14,$65.16
10/28/2020,$66.88,15961850,$67.695,$68.08,$66.325
10/27/2020,$69.51,14251700,$70.42,$70.6,$69.49
10/26/2020,$70.94,9710860,$71.73,$71.8899,$70.24
10/23/2020,$72.57,8727161,$73.93,$74.365,$71.8266
10/22/2020,$73.4,9812735,$70.88,$73.49,$70.57
10/21/2020,$70.87,9800575,$71.13,$71.5849,$70.73
10/20/2020,$71.68,7753247,$71.905,$72.29,$71.04
10/19/2020,$71.28,8357059,$73.11,$73.34,$71.19
10/16/2020,$72.89,9305957,$73.52,$74.03,$72.27
10/15/2020,$73.51,10052930,$71.815,$73.72,$71.39
10/14/2020,$72.95,7058050,$73.28,$74.432,$72.91
10/13/2020,$73.4,10440260,$74.74,$74.74,$72.78
10/12/2020,$74.51,9056884,$73.63,$74.95,$73.2
10/09/2020,$74,12260870,$75.86,$76.09,$73.98
10/08/2020,$75.22,11590870,$74.39,$75.55,$73.99
10/07/2020,$73.78,15410310,$72.17,$73.92,$71.56
10/06/2020,$72.3,15294480,$73.84,$74.32,$72.245
10/05/2020,$72.7,12049810,$71.52,$72.73,$70.71
10/02/2020,$71.19,9854802,$68.92,$71.67,$68.82
10/01/2020,$70.42,14930680,$71.51,$71.88,$70.03
09/30/2020,$72,10466450,$72.25,$72.89,$71.61
09/29/2020,$71.9,10561320,$74,$74.14,$71.11
09/28/2020,$73.93,12863840,$73.64,$74.76,$73.15
09/25/2020,$71.83,11070520,$71.01,$72.48,$70.77
09/24/2020,$71.8,15203450,$71.25,$73.03,$70.5
09/23/2020,$71.95,16649190,$75.59,$75.91,$71.85
09/22/2020,$75.53,9154966,$76.15,$77.53,$75.35
09/21/2020,$76.3,16199130,$76.24,$76.6522,$74.68
09/18/2020,$78.21,14517790,$77.88,$79.15,$77.5
09/17/2020,$78.79,10515130,$77.53,$78.85,$76.37
09/16/2020,$78.56,13021740,$76.35,$79.48,$75.96
09/15/2020,$76.35,11732010,$77.56,$78.48,$75.96
09/14/2020,$77.29,8182840,$77.48,$77.98,$76.9199
09/11/2020,$77.69,13732410,$78.24,$78.69,$77.065
09/10/2020,$78.15,11845880,$80.63,$80.89,$78.05
09/09/2020,$80.03,9269820,$79.97,$81.07,$79.68
09/08/2020,$78.97,14942530,$80.5,$80.58,$78.04
09/04/2020,$81.93,10516600,$82.46,$83.635,$80.9
09/03/2020,$82.28,16179900,$83.05,$84.49,$81.71
09/02/2020,$83.19,10822330,$83.06,$83.96,$82.7
09/01/2020,$83.08,8997235,$83.26,$83.63,$82.45
08/31/2020,$83.93,9437524,$85.83,$85.9,$83.87
08/28/2020,$85.63,7307932,$85.05,$85.73,$84.32
08/27/2020,$84.91,7438151,$85.16,$85.63,$83.97
08/26/2020,$84.78,7486490,$85.71,$85.84,$84.66
08/25/2020,$86.13,6835813,$88.01,$88.04,$85.76
08/24/2020,$87.2,8738698,$85.6,$87.34,$84.89
08/21/2020,$85.08,9003629,$84.67,$85.09,$83.51
08/20/2020,$84.81,7872311,$85.42,$86.89,$84.73
08/19/2020,$86.39,9120256,$87.3,$87.9,$86.2
08/18/2020,$87.63,7981520,$88.97,$89.37,$87.32
08/17/2020,$90.77,10473810,$90.35,$91.58,$89.72
08/14/2020,$90.35,6343029,$89,$90.59,$88.85
08/13/2020,$89.82,7314642,$89.87,$91.28,$89.7623
08/12/2020,$90.72,9057971,$90.8,$91.66,$89.45
08/11/2020,$89.62,9074300,$91.95,$93.01,$89.17
08/10/2020,$89.73,8150225,$87.94,$89.76,$87.6
08/07/2020,$86.8,7185382,$86.88,$87.11,$85.74
08/06/2020,$87.47,7035584,$86.43,$87.9,$86.1
08/05/2020,$87.2,7352641,$88.14,$88.43,$86.405
08/04/2020,$86.49,9077915,$84.48,$86.72,$84.2808
08/03/2020,$84.81,11221850,$83.98,$85.14,$83.8
07/31/2020,$83.94,19120650,$83.25,$84.1,$81.51
07/30/2020,$86.27,10112780,$88.43,$88.495,$85.7
07/29/2020,$90.07,6386853,$89.48,$90.08,$88.5776
07/28/2020,$89.11,6787341,$90.47,$91.17,$88.77
07/27/2020,$91.04,7599982,$89.76,$91.09,$88.8
07/24/2020,$90.13,6620464,$91.48,$92.74,$89.98
07/23/2020,$91.01,6586339,$90.5,$91.38,$90.02
07/22/2020,$91.04,10317500,$89.95,$91.25,$88.9
07/21/2020,$91.39,15119310,$86.47,$91.725,$86.36
07/20/2020,$85.27,14974840,$86.83,$87.49,$84.8
07/17/2020,$87.19,5964361,$88.41,$89.11,$86.91
07/16/2020,$88.36,4795687,$88.44,$89.48,$87.35
07/15/2020,$88.89,5935206,$90.18,$90.19,$88.21
07/14/2020,$88.35,7440538,$85.39,$88.6,$85.0401
07/13/2020,$85.4,7074046,$86.04,$86.93,$84.81
07/10/2020,$85.23,6218141,$82.5,$85.42,$82.5
07/09/2020,$82.74,8833552,$85.97,$86.32,$82.69
07/08/2020,$86.35,6735606,$86.39,$87.8002,$85.89
07/07/2020,$86.31,5898047,$87.82,$88.0799,$86.15
07/06/2020,$88.57,6747528,$89.5,$90.25,$87.8151
07/02/2020,$88.31,5832793,$89.37,$90.36,$88.1601
07/01/2020,$87.62,6379402,$89.28,$90.77,$87.55
